"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"brain"
"2","bone",0,0,"brain"
"3","brain",22,1,"brain"
"4","breast",0,0,"brain"
"5","caudaequina",0,0,"brain"
"6","chest_wall",0,0,"brain"
"7","colorectum",0,0,"brain"
"8","fat",0,0,"brain"
"9","head_&_neck",0,0,"brain"
"10","kidney",0,0,"brain"
"11","liver",0,0,"brain"
"12","lung",0,0,"brain"
"13","lymph_node",0,0,"brain"
"14","muscle",0,0,"brain"
"15","non-regional_/_distant_lymph_nodes",0,0,"brain"
"16","omentum",0,0,"brain"
"17","other",0,0,"brain"
"18","ovary",0,0,"brain"
"19","pancreas",0,0,"brain"
"20","pelvis",0,0,"brain"
"21","peritoneal_surfaces",0,0,"brain"
"22","peritoneum",0,0,"brain"
"23","pleura",0,0,"brain"
"24","pleura/pleural_effusion",0,0,"brain"
"25","posterior_peritoneum",0,0,"brain"
"26","skeleton",0,0,"brain"
"27","skin",0,0,"brain"
"28","small_intestine",0,0,"brain"
"29","soft_tissue",0,0,"brain"
"30","spinal_cord",0,0,"brain"
"31","spleen",0,0,"brain"
"32","subcutaneous",0,0,"brain"
"33","subcutanious_soft_tissue",0,0,"brain"
"34","viscera",0,0,"brain"
